file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.220000,0 days 00:00:02.240000,0.19264631,-16.537683,26.198105,-0.07234389,-0.007821984,0.103455596,12.429012,6.1853867,20.344467,13.420848,0.0,0.0,0.0,0.0,0.0,0.0,550.2797,1527.5991,-201.0,1667.8304,929.72174,-201.0,2769.3838,942.5925,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.230000,0 days 00:00:02.250000,0.20518504,-14.44443,21.742424,-0.086059935,-0.010088827,0.12146312,10.602071,5.090479,25.986063,12.519504,0.0,0.0,0.0,0.0,0.0,0.0,953.4958,1041.8086,-201.0,1890.8408,804.2132,-201.0,2852.5352,959.63495,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.240000,0 days 00:00:02.260000,0.19920862,-16.531717,24.281656,-0.10222313,-0.0071430714,0.13402624,10.164245,4.439934,24.78396,10.617382,0.0,0.0,0.0,0.0,0.0,0.0,1094.7529,1118.7123,-201.0,2073.5085,760.18097,-201.0,3060.8145,999.78485,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.250000,0 days 00:00:02.270000,0.20034896,-15.205249,22.236122,-0.102956235,-0.008388104,0.13195647,9.895738,5.3321376,25.785963,8.515209,0.0,0.0,0.0,0.0,0.0,0.0,1144.501,1122.2192,-201.0,2078.6104,792.9072,-201.0,3063.2078,1024.4943,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.260000,0 days 00:00:02.280000,0.1927069,-16.665436,24.171518,-0.08995902,-0.011401056,0.12484241,9.413821,7.76936,24.693121,8.093647,0.0,0.0,0.0,0.0,0.0,0.0,1047.2384,1245.892,-201.0,2024.8203,703.76196,-201.0,2969.657,986.1325,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.270000,0 days 00:00:02.290000,0.19324625,-15.055209,21.97177,-0.07875053,-0.008008765,0.11852339,8.542205,7.4303207,25.987692,10.359718,0.0,0.0,0.0,0.0,0.0,0.0,1104.5254,1166.3347,-201.0,2022.184,690.5079,-201.0,3005.081,878.8911,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.280000,0 days 00:00:02.300000,0.20235057,-15.535771,23.023895,-0.08388894,-0.009069479,0.116477035,7.7369385,6.7267394,27.327433,10.616197,0.0,0.0,0.0,0.0,0.0,0.0,1062.0944,1092.1504,-201.0,1993.9307,630.0086,-201.0,2944.907,855.5137,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.290000,0 days 00:00:02.310000,0.21704285,-12.572975,19.099524,-0.076771654,-0.004459062,0.12498349,6.752069,3.1211786,26.438665,9.76463,0.0,0.0,0.0,0.0,0.0,0.0,953.1912,1213.6177,-201.0,1827.9263,1375.3663,-201.0,2611.8901,833.77765,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.300000,0 days 00:00:02.320000,0.24414329,-11.087665,17.351862,-0.08006644,-0.0043807267,0.12605776,4.665771,1.8119439,30.096313,7.2948093,0.0,0.0,0.0,0.0,0.0,0.0,866.6767,1413.7953,-201.0,1680.3112,1297.9006,-201.0,2545.3274,793.7663,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.310000,0 days 00:00:02.330000,0.26839998,-8.735766,14.647842,-0.06872133,-0.0033587303,0.12595122,3.4861119,0.4505403,30.48179,5.4139667,0.0,0.0,0.0,0.0,0.0,0.0,638.78094,1644.8766,-201.0,1490.5013,1225.5813,-201.0,2374.4463,1040.9366,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.320000,0 days 00:00:02.340000,0.29612234,-7.8356166,14.604627,-0.07472816,-0.00420824,0.11888563,1.1957949,-1.3920544,33.312378,4.5610967,0.0,0.0,0.0,0.0,0.0,0.0,615.1171,1585.1324,-201.0,1520.1056,372.62646,-201.0,2574.1511,2222.8591,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.330000,0 days 00:00:02.350000,0.31268373,-5.2633414,11.242779,-0.06897068,-0.0032403592,0.11960804,-0.13783419,-3.6213539,32.364162,6.429131,0.0,0.0,0.0,0.0,0.0,0.0,597.36865,1440.599,-201.0,1455.4386,460.2997,-201.0,2391.0764,2903.739,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.340000,0 days 00:00:02.360000,0.33274683,-3.562833,7.8192086,-0.076933526,-0.0025770965,0.12184539,-1.735299,-5.6421394,33.96159,9.360337,0.0,0.0,0.0,0.0,0.0,0.0,886.24396,1071.506,-201.0,1502.601,937.7998,-201.0,2545.7952,2604.7317,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.350000,0 days 00:00:02.370000,0.33769855,-2.782179,6.200007,-0.06996182,-0.007665839,0.12917864,-0.102021694,-5.1451178,34.56383,11.756061,0.0,0.0,0.0,0.0,0.0,0.0,1092.1437,707.123,-201.0,1702.2036,1296.2533,-201.0,2784.2234,1413.6211,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.360000,0 days 00:00:02.380000,0.3133261,-6.28528,10.689502,-0.07403827,-0.014182341,0.13606243,0.8473131,-2.905681,33.594425,12.402524,0.0,0.0,0.0,0.0,0.0,0.0,1266.9554,1074.8691,-201.0,1704.4135,1317.9674,-201.0,2949.8328,798.42456,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.370000,0 days 00:00:02.390000,0.27990803,-8.141679,13.3953085,-0.06304457,-0.0154345445,0.13391612,3.089164,-1.1638615,29.105637,10.578771,0.0,0.0,0.0,0.0,0.0,0.0,984.5926,1597.1191,-201.0,1636.4908,1013.5069,-201.0,2639.26,1057.419,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.380000,0 days 00:00:02.400000,0.25433326,-10.219903,16.05615,-0.07318627,-0.007104129,0.12372937,2.7225857,-1.6134008,28.594236,15.331342,0.0,0.0,0.0,0.0,0.0,0.0,952.487,1610.348,-201.0,1588.6484,875.5571,-201.0,2631.2793,1017.4047,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.390000,0 days 00:00:02.410000,0.2412502,-10.549281,16.479488,-0.08013778,-0.0006293873,0.110960655,4.813661,-1.5262284,27.60708,17.582436,0.0,0.0,0.0,0.0,0.0,0.0,929.26447,1118.5508,-201.0,1772.1699,959.84686,-201.0,2747.903,966.00665,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.400000,0 days 00:00:02.420000,0.23331487,-12.193383,18.893333,-0.08650952,-0.0031861134,0.10662497,4.709198,-1.9612559,27.794678,20.441416,0.0,0.0,0.0,0.0,0.0,0.0,1172.6334,688.7153,-201.0,1987.9369,981.98553,-201.0,3169.4167,675.2712,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.410000,0 days 00:00:02.430000,0.21507639,-13.266846,20.71322,-0.07969947,-0.005674559,0.10982216,7.6217313,0.6274686,22.574432,17.707495,0.0,0.0,0.0,0.0,0.0,0.0,899.029,1142.4077,-201.0,1797.3011,989.1291,-201.0,2856.9163,835.2874,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.420000,0 days 00:00:02.440000,0.20748071,-14.26543,21.41986,-0.07645157,-0.007897622,0.10876455,8.741455,2.31301,23.422068,17.512789,0.0,0.0,0.0,0.0,0.0,0.0,839.0112,1292.9546,-201.0,1717.6149,868.4056,-201.0,2790.655,804.6857,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.430000,0 days 00:00:02.450000,0.19992332,-14.0386305,20.658522,-0.07434183,-0.003250989,0.10892635,10.815101,3.4213045,22.20771,16.57136,0.0,0.0,0.0,0.0,0.0,0.0,853.6397,1522.2924,-201.0,1673.1093,880.9401,-201.0,2757.2324,810.70703,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.440000,0 days 00:00:02.460000,0.20059527,-15.540271,21.850058,-0.07146975,-0.0064643607,0.11041906,11.037087,3.1237495,22.302147,13.243245,0.0,0.0,0.0,0.0,0.0,0.0,911.04346,1426.835,-201.0,1799.4432,813.64453,-201.0,2703.9307,1233.9269,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.450000,0 days 00:00:02.470000,0.19345385,-14.856393,21.37027,-0.071894236,-0.0013998086,0.11962398,9.446728,2.669103,19.420012,13.89433,0.0,0.0,0.0,0.0,0.0,0.0,937.7211,1242.1227,-201.0,1896.5868,873.95465,-201.0,2768.964,1253.7875,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.460000,0 days 00:00:02.480000,0.18161242,-17.13134,24.24584,-0.07509934,-0.0034158975,0.12285473,8.674109,3.725993,19.050646,13.215291,0.0,0.0,0.0,0.0,0.0,0.0,855.9816,1170.9633,-201.0,1888.6924,737.52216,-201.0,2722.219,1273.6324,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.470000,0 days 00:00:02.490000,0.16937785,-17.283318,24.33928,-0.08782325,-0.001306471,0.11867013,8.451374,5.958235,18.7266,15.914314,0.0,0.0,0.0,0.0,0.0,0.0,1055.8301,993.7712,-201.0,1960.4244,710.7973,-201.0,3141.9304,633.6823,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.480000,0 days 00:00:02.500000,0.1661589,-19.633854,26.958124,-0.08095313,-0.0076772706,0.114040464,10.8236475,6.991305,14.904315,13.484653,0.0,0.0,0.0,0.0,0.0,0.0,1008.24274,1140.174,-201.0,1941.3524,710.53125,-201.0,3181.2195,731.4495,-201.0
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,0 days 00:00:02.490000,0 days 00:00:02.510000,0.16155964,-19.017023,27.054235,-0.08288309,-0.0055013704,0.11233739,10.878609,8.385217,12.17702,14.163261,0.0,0.0,0.0,0.0,0.0,0.0,796.84625,1322.4741,-201.0,1742.0995,828.2966,-201.0,2943.332,745.3833,-201.0
